t,u[0],u[1],u[2]
1.105,-8.37918,-9.34864,24.7248
1.11,-8.42765,-9.39722,24.7868
1.115,-8.47613,-9.4435,24.8523
1.12,-8.5245,-9.4873,24.9211
1.125,-8.57264,-9.52847,24.9932
1.13,-8.62043,-9.56685,25.0684
1.135,-8.66775,-9.60227,25.1465
1.14,-8.71448,-9.63459,25.2274
1.145,-8.76048,-9.66365,25.3108
1.15,-8.80564,-9.68932,25.3966
1.155,-8.84983,-9.71147,25.4846
1.16,-8.89291,-9.72997,25.5745
1.165,-8.93476,-9.7447,25.6662
1.17,-8.97526,-9.75556,25.7593
1.175,-9.01427,-9.76247,25.8536
1.18,-9.05168,-9.76532,25.9489
1.185,-9.08736,-9.76406,26.0449
1.19,-9.1212,-9.75864,26.1413
1.195,-9.15307,-9.74901,26.2378
1.2,-9.18287,-9.73515,26.3341
1.205,-9.21048,-9.71705,26.43
1.21,-9.23581,-9.69471,26.5251
1.215,-9.25876,-9.66817,26.6191
1.22,-9.27923,-9.63746,26.7118
1.225,-9.29714,-9.60265,26.8027
1.23,-9.31241,-9.56381,26.8918
1.235,-9.32498,-9.52103,26.9785
1.24,-9.33479,-9.47442,27.0627
1.245,-9.34177,-9.42413,27.1441
1.25,-9.34589,-9.37028,27.2223
1.255,-9.34711,-9.31303,27.2973
1.26,-9.3454,-9.25258,27.3685
1.265,-9.34076,-9.18909,27.436
1.27,-9.33318,-9.12279,27.4993
1.275,-9.32266,-9.05387,27.5584
1.28,-9.30922,-8.98257,27.613
1.285,-9.29289,-8.90913,27.6629
1.29,-9.2737,-8.83378,27.708
1.295,-9.2517,-8.75678,27.7482
1.3,-9.22696,-8.67839,27.7833
1.305,-9.19953,-8.59886,27.8132
1.31,-9.16949,-8.51846,27.8379
1.315,-9.13694,-8.43745,27.8573
1.32,-9.10197,-8.3561,27.8713
1.325,-9.06467,-8.27466,27.88
1.33,-9.02517,-8.19341,27.8833
1.335,-8.98359,-8.11258,27.8812
1.34,-8.94004,-8.03243,27.8739
1.345,-8.89466,-7.95321,27.8613
1.35,-8.84758,-7.87514,27.8435
1.355,-8.79896,-7.79845,27.8206
1.36,-8.74894,-7.72335,27.7928
1.365,-8.69766,-7.65005,27.7601
1.37,-8.64528,-7.57875,27.7226
1.375,-8.59195,-7.50962,27.6806
1.38,-8.53783,-7.44283,27.6341
1.385,-8.48308,-7.37855,27.5834
1.39,-8.42786,-7.31691,27.5286
1.395,-8.37231,-7.25805,27.4699
1.4,-8.3166,-7.20209,27.4074
1.405,-8.26087,-7.14914,27.3415
1.41,-8.20528,-7.09928,27.2722
1.415,-8.14998,-7.05262,27.1999
1.42,-8.09512,-7.00921,27.1246
1.425,-8.04082,-6.96912,27.0466
1.43,-7.98724,-6.9324,26.9662
1.435,-7.93449,-6.89909,26.8835
1.44,-7.88272,-6.86922,26.7988
1.445,-7.83205,-6.8428,26.7122
1.45,-7.78259,-6.81986,26.624
1.455,-7.73445,-6.80039,26.5344
1.46,-7.68775,-6.7844,26.4436
1.465,-7.64258,-6.77186,26.3518
1.47,-7.59904,-6.76277,26.2592
1.475,-7.55723,-6.75711,26.166
1.48,-7.51722,-6.75483,26.0725
1.485,-7.4791,-6.75592,25.9787
1.49,-7.44294,-6.76033,25.885
1.495,-7.40881,-6.76803,25.7914
1.5,-7.37677,-6.77896,25.6983
1.505,-7.34688,-6.79307,25.6057
1.51,-7.31919,-6.81033,25.5138
1.515,-7.29375,-6.83067,25.4228
1.52,-7.2706,-6.85403,25.333
1.525,-7.24977,-6.88036,25.2444
1.53,-7.2313,-6.9096,25.1572
1.535,-7.21521,-6.94168,25.0716
1.54,-7.20154,-6.97655,24.9877
1.545,-7.19029,-7.01412,24.9058
1.55,-7.18148,-7.05434,24.8258
1.555,-7.17512,-7.09714,24.7481
1.56,-7.17122,-7.14244,24.6728
1.565,-7.16978,-7.19017,24.5999
1.57,-7.1708,-7.24026,24.5297
1.575,-7.17428,-7.29263,24.4622
1.58,-7.18019,-7.3472,24.3976
1.585,-7.18854,-7.4039,24.3361
1.59,-7.19931,-7.46262,24.2777
1.595,-7.21248,-7.5233,24.2227
1.6,-7.22802,-7.58584,24.171
1.605,-7.24591,-7.65016,24.1229
1.61,-7.26612,-7.71614,24.0784
1.615,-7.28862,-7.78371,24.0377
1.62,-7.31338,-7.85274,24.0008
1.625,-7.34035,-7.92315,23.968
1.63,-7.36949,-7.99481,23.9392
1.635,-7.40075,-8.06762,23.9146
1.64,-7.4341,-8.14146,23.8943
1.645,-7.46946,-8.21619,23.8783
1.65,-7.5068,-8.2917,23.8668
1.655,-7.54604,-8.36784,23.8598
1.66,-7.58713,-8.44448,23.8574
1.665,-7.63,-8.52148,23.8596
1.67,-7.67458,-8.59868,23.8666
1.675,-7.72078,-8.67592,23.8783
1.68,-7.76854,-8.75305,23.8949
1.685,-7.81776,-8.8299,23.9163
1.69,-7.86837,-8.90629,23.9425
